"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
3.610569871E1,2.186834812E-3,-2.538108826E-1,-3.644354343E-1
3.611369391E1,-1.937606335E-1,-2.239151001E-1,-4.748485088E-1
3.612168964E1,-1.912884116E-1,-2.492170334E-1,-5.570945740E-1
3.612968530E1,-1.383328438E-2,-4.348535538E-1,-6.139373779E-1
3.613768172E1,2.447684407E-1,-6.922197342E-1,-5.947406292E-1
3.614567654E1,4.609357119E-1,-9.089756012E-1,-5.079896450E-1
3.615370181E1,5.937505960E-1,-1.131118774E0,-4.430336952E-1
3.616169839E1,6.454109550E-1,-1.284746170E0,-4.418325424E-1
3.616969381E1,6.694378853E-1,-1.449218750E0,-4.459292889E-1
3.617769055E1,5.395923257E-1,-1.553192616E0,-5.066280365E-1
3.618568559E1,4.064358771E-1,-1.582125187E0,-5.840098858E-1
3.619368140E1,1.396497488E-1,-1.574460506E0,-7.108991146E-1
3.620167621E1,-3.672432899E-2,-1.484549046E0,-8.641433716E-1
3.620970356E1,-1.474513412E-1,-1.412360668E0,-1.014172792E0
3.621769875E1,-2.075210810E-1,-1.328951836E0,-1.108866692E0
3.622569410E1,-3.085299730E-1,-1.186099052E0,-1.204228401E0
3.623368899E1,-3.788570166E-1,-1.024292946E0,-1.329561710E0
3.624168557E1,-4.482257366E-1,-7.882070541E-1,-1.425891519E0
3.624968100E1,-4.809020758E-1,-5.685615540E-1,-1.424576283E0
3.625767642E1,-4.678872824E-1,-2.813100815E-1,-1.441427469E0
3.626570269E1,-4.183048606E-1,-1.536502838E-1,-1.448452830E0
3.627369874E1,-3.693329096E-1,2.509498596E-2,-1.395197630E0
3.628169416E1,-3.628679514E-1,1.833324432E-1,-1.263084650E0
3.628968920E1,-3.503624201E-1,3.110370636E-1,-1.072200775E0
3.629768532E1,-2.563492656E-1,3.842124939E-1,-8.930675983E-1
3.630568044E1,-1.427043080E-1,4.140396118E-1,-7.309229374E-1
3.631370694E1,-9.082037210E-2,5.871992111E-1,-5.973672867E-1
3.632170268E1,-7.617473602E-2,7.816610336E-1,-6.001057625E-1
3.632969841E1,-1.698087454E-1,9.616518021E-1,-6.345872879E-1
3.633769414E1,-3.943641782E-1,1.286008835E0,-6.701393127E-1
3.634569049E1,-5.863950253E-1,1.599633217E0,-5.941021442E-1
3.635368615E1,-8.289156556E-1,1.900190353E0,-4.934318066E-1
3.636168157E1,-9.363203645E-1,2.113105774E0,-3.410153389E-1
3.636970785E1,-9.474340081E-1,2.196963310E0,-2.375059128E-1
3.637770327E1,-9.097775221E-1,2.235077858E0,-3.056108952E-1
3.638569831E1,-8.859276772E-1,2.282351494E0,-4.490811825E-1
3.639369412E1,-9.533450603E-1,2.442113876E0,-6.121242046E-1
3.640168955E1,-1.000613689E0,2.676439285E0,-7.032066584E-1
3.640968467E1,-1.088212252E0,2.911469460E0,-7.814373970E-1
3.641768071E1,-1.187692165E0,3.095060349E0,-8.681792021E-1
3.642570721E1,-1.301284909E0,3.153478622E0,-9.389461279E-1
3.643370318E1,-1.339734793E0,2.969695091E0,-9.682792425E-1
3.644169837E1,-1.108653307E0,2.469744682E0,-8.371534348E-1
3.644969464E1,-8.044606447E-1,1.866298676E0,-5.694441795E-1
3.645769015E1,-4.733914137E-1,1.261915207E0,-2.324192524E-1
