"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
3.703358336E1,6.505927167E1,2.545852000E1,2.001443431E1,1.032018065E0,1.883600006E2,1.500000000E0,1.039999962E1
3.803358336E1,6.505926333E1,2.545852000E1,1.891443756E1,1.057239413E0,1.746499939E2,1.500000000E0,1.019999981E1
3.903358336E1,6.505925333E1,2.545852000E1,1.801444145E1,1.062901378E0,1.844299927E2,1.500000000E0,1.050000000E1
4.003358336E1,6.505924333E1,2.545851333E1,1.741444461E1,1.087093353E0,2.051999969E2,1.500000000E0,1.060000038E1
4.103358336E1,6.505923167E1,2.545850500E1,1.701444823E1,1.111799955E0,1.904600067E2,1.500000000E0,1.039999962E1
4.203358336E1,6.505922167E1,2.545850000E1,1.681445157E1,1.121065021E0,1.999499969E2,1.500000000E0,1.030000019E1
4.303358336E1,6.505921000E1,2.545849500E1,1.651445556E1,1.141139150E0,1.919100037E2,1.500000000E0,1.060000038E1
4.403358336E1,6.505920000E1,2.545847833E1,1.661445761E1,1.161728024E0,1.864499969E2,1.500000000E0,1.039999962E1
4.503358336E1,6.505918833E1,2.545846833E1,1.631446105E1,1.191067219E0,2.029100037E2,1.500000000E0,1.039999962E1
4.603358336E1,6.505917500E1,2.545846667E1,1.611446606E1,1.184890509E0,1.790500031E2,1.500000000E0,1.039999962E1
4.703358336E1,6.505916000E1,2.545848333E1,1.601447374E1,1.203935266E0,1.701199951E2,1.500000000E0,1.069999981E1
4.803358336E1,6.505914833E1,2.545849667E1,1.631447976E1,1.202391148E0,1.885899963E2,1.500000000E0,1.050000000E1
4.903358336E1,6.505913667E1,2.545849833E1,1.631448448E1,1.213200331E0,1.824499969E2,1.500000000E0,1.080000019E1
5.003358336E1,6.505912667E1,2.545849667E1,1.651448819E1,1.182831645E0,1.697899933E2,1.500000000E0,1.069999981E1
5.103358336E1,6.505911500E1,2.545849500E1,1.671449255E1,1.151948333E0,1.983099976E2,1.500000000E0,1.030000019E1
5.203358336E1,6.505910333E1,2.545849667E1,1.681449728E1,1.158125043E0,1.794900055E2,1.500000000E0,1.039999962E1
5.303358336E1,6.505909167E1,2.545849500E1,1.721450164E1,1.169963598E0,1.854400024E2,1.600000024E0,1.089999962E1
5.403358336E1,6.505907667E1,2.545849500E1,1.711450748E1,1.166875243E0,1.782400055E2,1.600000024E0,1.080000019E1
5.503358336E1,6.505906167E1,2.545849667E1,1.671451350E1,1.138050795E0,1.880700073E2,1.600000024E0,1.100000000E1
5.603358336E1,6.505904833E1,2.545850333E1,1.671451943E1,1.128785849E0,1.837700043E2,1.600000024E0,1.119999981E1
5.703358336E1,6.505903333E1,2.545850500E1,1.671452545E1,1.137536168E0,1.717700043E2,1.600000024E0,1.150000000E1
5.803358336E1,6.505902167E1,2.545851000E1,1.711453054E1,1.125697494E0,1.885599976E2,1.600000024E0,1.160000038E1
5.903358336E1,6.505901000E1,2.545851667E1,1.711453582E1,1.127241611E0,1.913000031E2,1.600000024E0,1.119999981E1
6.003358336E1,6.505900000E1,2.545851500E1,1.731453953E1,1.142683387E0,1.863000031E2,1.600000024E0,1.110000038E1
6.103358336E1,6.505898833E1,2.545851167E1,1.741454371E1,1.178713918E0,1.896900024E2,1.500000000E0,1.100000000E1
6.203358336E1,6.505897500E1,2.545850667E1,1.721454835E1,1.197243929E0,1.879100037E2,1.600000024E0,1.119999981E1
6.303358336E1,6.505895833E1,2.545850000E1,1.711455410E1,1.199817538E0,1.889700012E2,1.600000024E0,1.089999962E1
6.403358336E1,6.505894667E1,2.545849167E1,1.751455773E1,1.190552473E0,1.875899963E2,1.600000024E0,1.089999962E1
6.503358336E1,6.505893667E1,2.545849333E1,1.771456180E1,1.187978864E0,1.906499939E2,1.600000024E0,1.089999962E1
6.603358336E1,6.505893167E1,2.545849667E1,1.781456412E1,1.140109777E0,2.213500061E2,1.600000024E0,1.119999981E1
6.703358336E1,6.505892667E1,2.545849667E1,1.751456606E1,1.062901378E0,1.972100067E2,1.600000024E0,1.139999962E1
6.803358336E1,6.505891333E1,2.545849667E1,1.751457126E1,1.047459722E0,1.873399963E2,1.600000024E0,1.119999981E1
6.903358336E1,6.505890167E1,2.545849500E1,1.751457561E1,1.024811983E0,1.850200043E2,1.600000024E0,1.089999962E1
7.003358336E1,6.505888667E1,2.545849833E1,1.801458182E1,1.048489213E0,1.746600037E2,1.600000024E0,1.080000019E1
7.103358336E1,6.505886833E1,2.545849833E1,1.831458896E1,1.071651697E0,1.637200012E2,1.600000024E0,1.080000019E1
7.203358336E1,6.505885333E1,2.545850500E1,1.831459553E1,1.079372525E0,1.691499939E2,1.600000024E0,1.069999981E1
7.303358336E1,6.505884333E1,2.545851000E1,1.861459998E1,1.065989733E0,1.802599945E2,1.600000024E0,1.080000019E1
7.403358336E1,6.505883167E1,2.545850833E1,1.891460434E1,1.077828288E0,1.851999969E2,1.600000024E0,1.110000038E1
7.503358336E1,6.505881833E1,2.545851000E1,1.961460971E1,1.130329967E0,1.794600067E2,1.600000024E0,1.160000038E1
7.603358336E1,6.505880833E1,2.545851000E1,2.001461361E1,1.178713918E0,1.845599976E2,1.600000024E0,1.150000000E1
7.703358336E1,6.505880000E1,2.545851167E1,2.031461703E1,1.257981062E0,1.741199951E2,1.600000024E0,1.110000038E1
7.803358336E1,6.505878667E1,2.545851333E1,2.081462241E1,1.308938622E0,1.831699982E2,1.600000024E0,1.119999981E1
7.903358336E1,6.505877167E1,2.545850167E1,2.061462696E1,1.351145864E0,2.010800018E2,1.600000024E0,1.110000038E1
8.003358336E1,6.505876000E1,2.545849500E1,2.091463077E1,1.378940821E0,1.833500061E2,1.600000024E0,1.119999981E1
8.103358336E1,6.505874667E1,2.545849667E1,2.101463615E1,1.366072774E0,1.656100006E2,1.600000024E0,1.080000019E1
8.203358336E1,6.505873000E1,2.545850500E1,2.111464355E1,1.362984419E0,1.755800018E2,1.600000024E0,1.100000000E1
8.303358336E1,6.505871667E1,2.545851167E1,2.101464948E1,1.361440301E0,1.880299988E2,1.600000024E0,1.080000019E1
8.403358336E1,6.505870667E1,2.545851000E1,2.071465319E1,1.314600587E0,1.900399933E2,1.500000000E0,1.030000019E1
8.503358336E1,6.505869833E1,2.545850667E1,2.041465607E1,1.239451170E0,1.569400024E2,1.500000000E0,1.030000019E1
8.603358336E1,6.505868833E1,2.545851333E1,1.971466069E1,1.251804471E0,1.770500031E2,1.500000000E0,1.080000019E1
8.703358336E1,6.505867667E1,2.545851833E1,1.921466579E1,1.255922198E0,1.812799988E2,1.500000000E0,1.100000000E1
8.803358336E1,6.505866167E1,2.545851833E1,1.941467163E1,1.254892826E0,1.857599945E2,1.500000000E0,1.069999981E1
8.903358336E1,6.505864833E1,2.545852000E1,1.961467700E1,1.269304991E0,1.835099945E2,1.500000000E0,1.060000038E1
9.003358336E1,6.505863167E1,2.545851667E1,1.931468312E1,1.244598389E0,1.823399963E2,1.500000000E0,1.080000019E1
9.103358336E1,6.505861500E1,2.545851500E1,1.881468943E1,1.215259194E0,1.891699982E2,1.500000000E0,1.119999981E1
9.203358336E1,6.505860167E1,2.545850833E1,1.841469389E1,1.202905774E0,1.831100006E2,1.500000000E0,1.150000000E1
9.303358336E1,6.505858667E1,2.545850000E1,1.811469881E1,1.167389989E0,1.978200073E2,1.500000000E0,1.180000019E1
9.403358336E1,6.505857500E1,2.545849167E1,1.801470244E1,1.210626721E0,1.795500031E2,1.500000000E0,1.119999981E1
9.503358336E1,6.505856167E1,2.545849167E1,1.791470763E1,1.239451170E0,1.790099945E2,1.600000024E0,1.160000038E1
9.603358336E1,6.505855167E1,2.545848667E1,1.791471098E1,1.228641987E0,1.860800018E2,1.500000000E0,1.130000019E1
9.703358336E1,6.505854333E1,2.545848667E1,1.781471422E1,1.220921159E0,1.771699982E2,1.500000000E0,1.089999962E1
9.803358336E1,6.505853000E1,2.545849333E1,1.781472014E1,1.213714957E0,1.792100067E2,1.500000000E0,1.089999962E1
